,Active_School_Zone_Fl,Active_School_Zone_Fl_01,Amend_Supp_Fl,Amend_Supp_Fl_01,At_Intrsct_Fl,At_Intrsct_Fl_01,Cmv_Involv_Fl,Cmv_Involv_Fl_01,CrashDateFormated,Crash_Date,Crash_Fatal_Fl,Crash_Fatal_Fl_01,Crash_ID,Crash_Speed_Limit,Crash_Time,Day_of_Week,Death_Cnt,Hwy_Nbr,Hwy_Nbr_2,Hwy_Sys,Hwy_Sys_2,Incap_Injry_Cnt,Investigat_Arrv_Time,Investigat_Comp_Fl,Investigat_Comp_Fl_01,Investigat_Notify_Meth,Investigat_Notify_Time,Latitude,Local_Use,Located_Fl,Located_Fl_01,Longitude,Medical_Advisory_Fl,Medical_Advisory_Fl_01,Non_Injry_Cnt,Nonincap_Injry_Cnt,ORI_Number,Onsys_Fl,Onsys_Fl_01,Poss_Injry_Cnt,Private_Dr_Fl,Private_Dr_Fl_01,Report_Date,Road_Constr_Zone_Fl,Road_Constr_Zone_Fl_01,Road_Constr_Zone_Wrkr_Fl,Road_Constr_Zone_Wrkr_Fl_01,Rpt_Block_Num,Rpt_Hwy_Num,Rpt_Latitude,Rpt_Longitude,Rpt_Outside_City_Limit_Fl,Rpt_Outside_City_Limit_Fl_01,Rpt_Ref_Mark_Dir,Rpt_Ref_Mark_Dist_Uom,Rpt_Ref_Mark_Nbr,Rpt_Ref_Mark_Offset_Amt,Rpt_Sec_Block_Num,Rpt_Sec_Hwy_Num,Rpt_Sec_Street_Desc,Rpt_Sec_Street_Name,Rpt_Sec_Street_Pfx,Rpt_Sec_Street_Sfx,Rpt_Street_Desc,Rpt_Street_Name,Rpt_Street_Pfx,Rpt_Street_Sfx,Rr_Relat_Fl,Rr_Relat_Fl_01,Rural_Fl,Rural_Fl_01,Schl_Bus_Fl,Schl_Bus_Fl_01,Street_Name,Street_Name_2,Street_Nbr,Thousand_Damage_Fl,Thousand_Damage_Fl_01,Toll_Road_Fl,Toll_Road_Fl_01,Tot_Injry_Cnt,Txdot_Rptable_Fl,Txdot_Rptable_Fl_01,Unkn_Injry_Cnt
2625,N,0,N,0,N,0,N,0,2013-06-25 18:45:00,6/25/2013,N,0,13363224,20,6:45 PM,TUE,0,,,,,0,3:35 PM,Y,1,WALKIN,3:35 PM,,,N,0,,N,0,0,0,TXHPD0000,N,0,0,Y,1,6/28/2013,N,0,N,0,6345,,,,N,0,,,,,2600,,,WINROCK,,,CONCRETE,WESTHEIMER,,RD,N,0,N,0,N,0,WESTHEIMER RD,,,Y,1,N,0,0,N,0,1
2653,N,0,N,0,N,0,N,0,2013-07-20 00:15:00,7/20/2013,N,0,13367324,-1,12:15 AM,SAT,0,,,,,0,12:34 AM,Y,1,DISPATCHED,12:25 AM,,,N,0,,N,0,1,0,TX0000006,N,0,0,Y,1,7/20/2013,N,0,N,0,2275,,,,N,0,,,,,,,,FERGUSON,,RD,BUSINESS PARKING LOT,GUS THOMASSON,,RD,N,0,N,0,N,0,GUS THOMASSON RD,,,Y,1,N,0,0,N,0,0
2736,N,0,N,0,N,0,N,0,2013-07-06 03:08:00,7/6/2013,N,0,13377169,10,3:08 AM,SAT,0,,,,,0,3:27 AM,Y,1,DISPATCHED,3:15 AM,,,N,0,,N,0,1,0,TX0571200,N,0,0,Y,1,7/6/2013,N,0,N,0,,,,,N,0,,,,,2700,,,HEATHER RIDGE,,LN,APARTMENT ENTRANCE GATE,HEATHER HILL,,CT,N,0,N,0,N,0,HEATHER HILL CT,,,Y,1,N,0,0,N,0,1
2744,N,0,N,0,N,0,N,0,2013-07-26 20:45:00,7/26/2013,N,0,13377877,-1,8:45 PM,FRI,0,,,,,0,11:17 PM,Y,1,DISPATCH,11:14 PM,29.81302138,FSGI,Y,1,-95.3362465,N,0,0,0,TXHPD0000,N,0,0,N,0,7/27/2013,N,0,N,0,5711,,,,N,0,,,,,,,,KELLEY,,,,NECHES,,,N,0,N,0,N,0,NECHES ST,,,Y,1,N,0,0,Y,1,1
2746,N,0,N,0,N,0,Y,1,2013-07-22 17:05:00,7/22/2013,N,0,13377934,20,5:05 PM,MON,0,,,,,0,5:45 PM,Y,1,DISPATCHED,5:35 PM,,4110,N,0,,N,0,5,0,TXSPD0000,N,0,0,Y,1,7/22/2013,N,0,N,0,3700,,,,N,0,,,,,1100,,,BRUSSELS,,DR,,BELGIUM,,,N,0,N,0,N,0,BELGIUM,,,N,0,N,0,0,N,0,0
2925,N,0,N,0,N,0,N,0,2013-07-26 15:30:00,7/26/2013,N,0,13417909,0,3:30 PM,FRI,0,,,,,0,5:08 PM,Y,1,DISPATCHED,3:33 PM,,1006191,N,0,,N,0,1,0,TX1010000,N,0,0,Y,1,7/26/2013,N,0,N,0,17715,,,,Y,1,,,,,,,,RICHCREST,,DR,,WAYFOREST,,DR,N,0,Y,1,N,0,WAYFOREST DR,,,N,0,N,0,0,N,0,0
3104,N,0,N,0,N,0,N,0,2013-08-07 00:08:00,8/7/2013,N,0,13403441,0,12:08 AM,WED,0,,,,,0,12:13 AM,Y,1,POLICE DISPATCH,12:08 AM,,,N,0,,N,0,0,0,TX1520200,N,0,0,Y,1,8/7/2013,N,0,N,0,8200,,,,N,0,,,,,2500,,,82ND,,ST,,UNIVERSITY,,AVE,N,0,N,0,N,0,UNIVERSITY AVE,,,Y,1,N,0,0,N,0,1
3128,N,0,N,0,N,0,Y,1,2013-08-05 07:08:00,8/5/2013,N,0,13406814,45,7:08 AM,MON,0,,,,,0,7:38 AM,Y,1,DISPATCHED,7:19 AM,31.68623434,,Y,1,-106.266687,N,0,3,0,TX0710000,N,0,0,N,0,8/5/2013,N,0,N,0,13500,,,,Y,1,,,,,12300,,,EASTLAKE,,,,GATEWAY WEST,,,N,0,Y,1,N,0,GATEWAY BLVD W,,,Y,1,N,0,0,Y,1,0
3152,N,0,N,0,N,0,N,0,2013-08-12 15:25:00,8/12/2013,N,0,13410317,10,3:25 PM,MON,0,,,,,0,3:29 PM,Y,1,RADIO,3:27 PM,,,N,0,,Y,1,0,0,TX0930100,N,0,1,Y,1,8/12/2013,N,0,N,0,516,,,,N,0,,,,,900,,,MILLICAN,,ST,,LAREDO,,ST,N,0,N,0,N,0,LAREDO ST,,,Y,1,N,0,1,N,0,0
3225,N,0,N,0,Y,1,N,0,2013-08-26 17:40:00,8/26/2013,N,0,13420036,45,5:40 PM,MON,0,,,,,0,5:46 PM,Y,1,DISPATCH,5:45 PM,,,N,0,,N,0,1,1,TX0210200,Y,1,0,N,0,8/26/2013,N,0,N,0,,6,,,N,0,,,,,,,,MANUEL,,DR,,TEXAS,,AVE,N,0,N,0,N,0,BS0006,MANUEL DR,,Y,1,N,0,1,Y,1,0
